,Class Year Group,Class,Code_S1,Code_S2,Course,Curr,Group,Cohort,Dept
1,G10 - Secondary,ART AB,4514,4515,Art,EA,A,1,EA
2,G10 - Secondary,ART CD,4512,4513,Art,EA,A,2,EA
3,G10 - Secondary,ART EF,4510,4511,Art,EA,A,3,EA
4,G10 - Secondary,DRA AB-1,4524,4525,Drama,EA,A,1,EA
5,G10 - Secondary,DRA AB-2,4524,4525,Drama,EA,A,2,EA
6,G10 - Secondary,DRA CD-1,4522,4523,Drama,EA,A,3,EA
7,G10 - Secondary,DRA EF,4520,4521,Drama,EA,A,4,EA
8,G10 - Secondary,MUSIC AB,4532,4533,Music,EA,AB,1,EA
9,G10 - Secondary,MUSIC CD,4530,4531,Music,EA,CD,2,EA
10,G10 - Secondary,BUS AB-1,4214,4215,Business,IGSCE,AB,1,Humanities
11,G10 - Secondary,BUS AB-2,4214,4215,Business,IGSCE,AB,2,Humanities
12,G10 - Secondary,BUS CD-2,4212,4213,Business,IGSCE,CD,1,Humanities
13,G10 - Secondary,BUS EF,4210,4211,Business,IGSCE,EF,1,Humanities
14,G10 - Secondary,ECO AB-1,4226,4227,Economics,IGSCE,AB,1,Humanities
15,G10 - Secondary,ECO AB-2,4226,4227,Economics,IGSCE,AB,2,Humanities
16,G10 - Secondary,ECO CD-1,4224,4225,Economics,IGSCE,CD,1,Humanities
17,G10 - Secondary,ECO CD-2,4224,4225,Economics,IGSCE,CD,2,Humanities
18,G10 - Secondary,ECO EF,4222,4223,Economics,IGSCE,EF,1,Humanities
19,G10 - Secondary,ECO G,4220,4221,Economics,IGSCE,GH,1,Humanities
20,G10 - Secondary,ECO H,4220,4221,Economics,IGSCE,GH,2,Humanities
29,G10 - Secondary,GEO AB-1,4234,4235,Geography,IGSCE,AB,1,Humanities
30,G10 - Secondary,GEO AB-2,4234,4235,Geography,IGSCE,AB,2,Humanities
31,G10 - Secondary,GEO CD-1,4232,4233,Geography,IGSCE,CD,1,Humanities
32,G10 - Secondary,GEO EF,4230,4231,Geography,IGSCE,EF,1,Humanities
21,G10 - Secondary,GEO-A,4410,4411,Geography(N),National,A,1,Humanities
22,G10 - Secondary,GEO-B,4710,4711,Geography(N),National,A,2,Humanities
23,G10 - Secondary,GEO-C,4710,4711,Geography(N),National,A,3,Humanities
24,G10 - Secondary,GEO-D,4710,4711,Geography(N),National,A,4,Humanities
25,G10 - Secondary,GEO-E,4710,4711,Geography(N),National,A,5,Humanities
26,G10 - Secondary,GEO-F,4710,4711,Geography(N),National,A,6,Humanities
27,G10 - Secondary,GEO-G,4710,4711,Geography(N),National,A,7,Humanities
28,G10 - Secondary,GEO-H,4710,4711,Geography(N),National,A,8,Humanities
33,G10 - Secondary,HIS-A,4720,4721,History,National,A,1,Humanities
34,G10 - Secondary,HIS-B,4720,4721,History,National,A,2,Humanities
35,G10 - Secondary,HIS-C,4720,4721,History,National,A,3,Humanities
36,G10 - Secondary,HIS-D,4720,4721,History,National,A,4,Humanities
37,G10 - Secondary,HIS-E,4720,4721,History,National,A,5,Humanities
38,G10 - Secondary,HIS-F,4720,4721,History,National,A,6,Humanities
39,G10 - Secondary,POL A,4730,4731,Politics,National,A,1,Humanities
40,G10 - Secondary,POL B,4730,4731,Politics,National,A,2,Humanities
41,G10 - Secondary,POL C,4730,4731,Politics,National,A,3,Humanities
42,G10 - Secondary,POL D,4730,4731,Politics,National,A,4,Humanities
43,G10 - Secondary,POL E,4730,4731,Politics,National,A,5,Humanities
44,G10 - Secondary,POL F,4730,4731,Politics,National,A,6,Humanities
45,G10 - Secondary,POL G,4730,4731,Politics,National,A,7,Humanities
46,G10 - Secondary,POL H,4730,4731,Politics,National,A,8,Humanities
56,G10 - Secondary,English-1st A,4620,4621,English,ESL,A,1,Languages
57,G10 - Secondary,English-2nd B,4630,4631,English,ESL,B,1,Languages
58,G10 - Secondary,English-2nd C,4630,4631,English,ESL,C,1,Languages
59,G10 - Secondary,English-2nd D,4630,4631,English,ESL,D,1,Languages
60,G10 - Secondary,English-2nd E,4630,4631,English,ESL,E,1,Languages
61,G10 - Secondary,English-2nd F,4630,4631,English,ESL,F,1,Languages
62,G10 - Secondary,English-1 Year G,4610,4611,English,ESL,G,1,Languages
63,G10 - Secondary,English-1 Year H,4610,4611,English,ESL,H,1,Languages
47,G10 - Secondary,Chinese A,4440,4441,Chinese,National,A,1,Languages
48,G10 - Secondary,Chinese A(2),4440,4441,Chinese,National,A,2,Languages
49,G10 - Secondary,Chinese B,4440,4441,Chinese,National,A,3,Languages
50,G10 - Secondary,Chinese C,4440,4441,Chinese,National,A,4,Languages
51,G10 - Secondary,Chinese D,4440,4441,Chinese,National,A,5,Languages
52,G10 - Secondary,Chinese E,4440,4441,Chinese,National,A,6,Languages
53,G10 - Secondary,Chinese F,4440,4441,Chinese,National,A,7,Languages
54,G10 - Secondary,Chinese G,4440,4441,Chinese,National,A,8,Languages
55,G10 - Secondary,Chinese H,4440,4441,Chinese,National,A,9,Languages
64,G10 - Secondary,PE-A,4710,4711,PE,PE,A,1,PE
65,G10 - Secondary,PE-B,4710,4711,PE,PE,A,2,PE
66,G10 - Secondary,PE-C,4710,4711,PE,PE,A,3,PE
67,G10 - Secondary,PE-D,4710,4711,PE,PE,A,4,PE
68,G10 - Secondary,PE-E,4710,4711,PE,PE,A,5,PE
69,G10 - Secondary,PE-F,4710,4711,PE,PE,A,6,PE
70,G10 - Secondary,PE-G,4710,4711,PE,PE,A,7,PE
71,G10 - Secondary,PE-H,4710,4711,PE,PE,A,8,PE
72,G10 - Secondary,BIO AB-1,4114,4115,Biology,IGSCE,AB,1,STEM
73,G10 - Secondary,BIO AB-2,4114,4115,Biology,IGSCE,AB,2,STEM
74,G10 - Secondary,BIO CD-1,4112,4113,Biology,IGSCE,CD,1,STEM
75,G10 - Secondary,BIO CD-2,4112,4113,Biology,IGSCE,CD,2,STEM
76,G10 - Secondary,BIO EF,4110,4111,Biology,IGSCE,EF,1,STEM
77,G10 - Secondary,CHE-A,4120,4121,Chemistry,IGSCE,A,1,STEM
78,G10 - Secondary,CHE-B,4120,4121,Chemistry,IGSCE,A,2,STEM
79,G10 - Secondary,CHE-C,4120,4121,Chemistry,IGSCE,A,3,STEM
80,G10 - Secondary,CHE-D,4120,4121,Chemistry,IGSCE,A,4,STEM
81,G10 - Secondary,CHE-E,4120,4121,Chemistry,IGSCE,A,5,STEM
82,G10 - Secondary,CHE-F,4120,4121,Chemistry,IGSCE,A,6,STEM
83,G10 - Secondary,CHE-G,4120,4121,Chemistry,IGSCE,A,7,STEM
84,G10 - Secondary,CHE-H,4120,4121,Chemistry,IGSCE,A,8,STEM
85,G10 - Secondary,ICT-A,4130,4131,ICT,IGSCE,A,1,STEM
86,G10 - Secondary,ICT-B,4130,4131,ICT,IGSCE,A,2,STEM
87,G10 - Secondary,ICT-C,4130,4131,ICT,IGSCE,A,3,STEM
88,G10 - Secondary,ICT-D,4130,4131,ICT,IGSCE,A,4,STEM
89,G10 - Secondary,ICT-E,4130,4131,ICT,IGSCE,A,5,STEM
90,G10 - Secondary,ICT-F,4130,4131,ICT,IGSCE,A,6,STEM
91,G10 - Secondary,ABC-1 (Advanced),4154,4155,Maths,IGSCE,A,1,STEM
92,G10 - Secondary,ABC-2 (Fast 1),4152,4153,Maths,IGSCE,B,1,STEM
93,G10 - Secondary,ABC-3 (Fast 2),4152,4153,Maths,IGSCE,B,2,STEM
94,G10 - Secondary,ABC-4 (Regular 1),4150,4151,Maths,IGSCE,C,1,STEM
95,G10 - Secondary,DEF-1 (Fast 3),4146,4147,Maths,IGSCE,D,1,STEM
96,G10 - Secondary,DEF-3 (Regular 2),4144,4145,Maths,IGSCE,EF,1,STEM
